HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.HIT_ID,Input.pr_link,Input.contributors_url,Input.merged,Input.submitter,Input.closer,Input.cores,Input.p_num,Input.c_num,Answer.Comment,Answer.GithubID,Answer.P1_Submitter,Answer.P2_Cores,Answer.P3_External,Answer.Q1_Support?,Answer.Q1_Support_Comment,Answer.Q2_Alternate S?,Answer.Q2_Alternate_Comment,Answer.Q3_Dis_Solution?,Answer.Q3_Dis_Solution_Comment,Answer.Q4_Dis_Problem?,Answer.Q4_Dis_Problem_Comment,Answer.Q5_Outcome?,Answer.Q5_Outcome_Comment?,Approve,Reject



+1 to not wrapping successes. Also +1 to not disturbing the return values without telling blues ahead of time.","Y,core","mcovarr commented on Jan 12



Looks like you forgot to add ThrowableWithErrors",N,{},N,{},Merged.,{},,

3PGQRAZX0286RG4SMBG4TJ51SF4YSP,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:02 PDT 2016,2,BatchId:2537954;,3600,604800,Wed Oct 05 14:46:02 PDT 2016,,,3KMS4QQVK3E4PQ8J2EKF1W2WJKXKFZ,ABFSVRWVFHZ6P,Approved,Sat Oct 01 00:02:56 PDT 2016,Sat Oct 01 01:00:48 PDT 2016,Sat Oct 08 01:00:48 PDT 2016,Sat Oct 01 19:06:03 PDT 2016,,,3472,100% (39/39),100% (39/39),100% (39/39),1153,https://github.com/diaspora/diaspora/pull/6612,https://github.com/diaspora/diaspora/graphs/contributors,FALSE,fiedl,fiedl,"jhass, maxwell, danielgrippi",5,12,{},0pointr,fiedl,"jhass, maxwell, danielgrippi, sarahmei, Raven24, svbergerem, OhaiBBQ, fabianrbz, denniscollective, grzuy, Pistos, jaywink, ticho, stevenh512, manuels, DeadSuperHero","fiedl, disapora-code-review","Y,core","Thanks for this work! I will give you a feedback tomorrow, I'm busy today.

$$$$

I really like this feature, even though personally I wouldn't probably use it, I'm thinking this could be something people could be really interested in. As a podmin I would probably want to somehow restrict abuse of this feature, especially if I use an email service which costs money after X amount of emails (like I personally do, Mandrill in this case). Not sure how this could be restricted neatly..



Btw, basing a big feature like this on master is risky since they can be very far away, especially the UI side is almost rewritten in develop (styling parts). If you can't base it on develop, prepare for lots of tweaking once the time comes since it must be merged in to develop.



Connecting to the federation: Currently, this pull request only considers the local pod. What is the proper way to extend the code to properly talk to the other pods? I suspect, each pod should be responsible for notifying its local users. Then, the notification should be triggered when posts are created from outside. Where is the proper place to do this?

You only need to hook into something that processes posts from the outside, the settings themselves don't need to be federated out. But I think better just hijack some part that doesn't care whether the message is from the outside or inside - I guess StatusMessage model might be one logical place.



Translation in other languages: Who is responsible to provide i18n for new features? Currently, this pull request provides en, de and de_formal.

Only ever include en in the code - the rest are done via WebTranslateIt.



Btw, regarding pushing code to pull requests. To stop mail spam due to automated code review comments to project admins, please try to remember to run pronto locally as in our wiki, and before pushing fix any obvious issues so there is less email spam, thanks!","Y,core","Also, I've adopted the new boostrap-4 css classes.

I think we're still on bootstrap3?



Does it do any harm if I've included the de translation already? I.e. do I have to remove these translations from the pull request?

Yes you should remove any non-en translations, sorry. Once the feature lands, you will be able to do them at WebTranslate.



I've thought about that. But wouldn't I expect email delivery being triggered by something like a countroller?

If there is email delivery from within the model layer, how would one prevent the system from sending emails when doing maintinance from a rake task or the rails console?

TBH, I'm not sure where the notifications/emails are triggered. But unlikely from a controller, since you must consider most of the posts on a pod come from the outside, not via the web UI.



But, now that you mention notifications (I think you did), it makes sense to do this in a way that it is not tied to sending emails, but tie it to notifications instead. So then user is able to choose whether to receive emails or not, or just to follow the notifications as regular notifications.



For clarification, for example comments trigger notifications to other users, where appropriate. IF the user has the relevant checkbox set in their settings, the notification is delivered also by email. I think doing it the same way would reuse the most code and architecture design - also it would be clearer for the users. What do you think?",N,{},N,{},"Rej, not sure.",{},,

3PGQRAZX0286RG4SMBG4TJ51SF4YSP,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:02 PDT 2016,2,BatchId:2537954;,3600,604800,Wed Oct 05 14:46:02 PDT 2016,,,3PQMUDRV7SUXTMKL3J5ORD0B610IIY,AMZVZJL54O491,Rejected,Mon Sep 26 02:45:20 PDT 2016,Mon Sep 26 02:50:25 PDT 2016,Mon Oct 03 02:50:25 PDT 2016,,Wed Sep 28 14:46:01 PDT 2016,Q5 is wrong. We approve HIT with at least correct answer for Q5 and the preparation parts. If you have doubts about that. Please contact di.chen.mturk@gmail.com,305,80% (64/80),80% (64/80),80% (64/80),1153,https://github.com/diaspora/diaspora/pull/6612,https://github.com/diaspora/diaspora/graphs/contributors,FALSE,fiedl,fiedl,"jhass, maxwell, danielgrippi",5,12,{},zantx3,fiedl,"jhass, maxwell, danielgrippi, svbergerem, sarahmei, Supertux88, raven24, denschub","jaywink, flaburgan,","Y,core","Flaburgan commented on Jan 2



Thanks for this work! I will give you a feedback tomorrow, I'm busy today.","Y,others","I think we're still on bootstrap3?



    Does it do any harm if I've included the de translation already? I.e. do I have to remove these translations from the pull request?



Yes you should remove any non-en translations, sorry. Once the feature lands, you will be able to do them at WebTranslate.","Y,inconsistency","jaywink commented on Jan 9



    I still think that, additionally, a dropdown with several subscription levels would be nice in order to minimize the number of clicks required to get email notifications for a certain channel: (1) No subscription, (2) show in stream, (3) receive notification emails. Or something similar.



I feel putting stream content filtering under here might be the wrong place - maybe just restrict it to 1) no subscription and 2) receive notifications? And then have a checkbox also in the main email notifications settings with default true to govern whether this notification is also delivered via email.



Filtering content for the stream should probably not be tied to this feature imho. It is something that is wanted in general, to be able to for example save a stream with certain filters.","Y,not fit.|Y, no value","Closing this pull request



Either way, both ideas are far beyond what this pull request has tried to do.



As there are still a couple of unresolved issues (see checkboxes in the pull request description at the top of this page) and I don't have the time to address them properly at the moment, I'll close this pull request for now.",Merged.,{},,

34KYK9TV2RWAE8BHCJ2KL87076MSB4,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:02 PDT 2016,1,BatchId:2537954;,3600,604800,Sun Oct 02 14:40:02 PDT 2016,,,37Q970SNZFWBNURJ0OEW3GPCYXM1SC,AMZVZJL54O491,Approved,Mon Sep 26 01:31:57 PDT 2016,Mon Sep 26 01:38:07 PDT 2016,Mon Oct 03 01:38:07 PDT 2016,Wed Sep 28 14:46:04 PDT 2016,,,370,80% (64/80),80% (64/80),80% (64/80),1175,https://github.com/apache/spark/pull/10628,https://github.com/apache/spark/graphs/contributors,FALSE,nongli,asfgit,"mateiz, rxin, pwendell",6,12,{},zantx3,nogli,"mateiz, rxin, pwendell, joshrosen, davies, tdas, liancheng, zsxwing","kiszk, robbinspg, a-roberts, yjshen, SparkQA, nongli,","Y,core","@rxin

rxin commented on Jan 12



I'm going to merge this. Thanks.",N,{},N,{},N,{},"Rej, implemented.","SparkQA commented on Jan 7



Test build #48897 has finished for PR 10628 at commit 381492e.



    This patch fails RAT tests.

    This patch merges cleanly.

    This patch adds the following public classes (experimental):",,

302OLP89DZVPOHHT9JCOBSJC3LGCA0,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:04 PDT 2016,1,BatchId:2537954;,3600,604800,Sun Oct 02 14:40:04 PDT 2016,,,3RRCEFRB7N0TY770CKB3BPMF6TG4BX,AMZVZJL54O491,Approved,Mon Sep 26 02:50:26 PDT 2016,Mon Sep 26 02:57:32 PDT 2016,Mon Oct 03 02:57:32 PDT 2016,Wed Sep 28 14:46:00 PDT 2016,,,426,80% (64/80),80% (64/80),80% (64/80),1179,https://github.com/ruby-grape/grape/pull/1240,https://github.com/ruby-grape/grape/graphs/contributors,TRUE,namusyaka,dblock,"dblock, namusyaka",3,12,{},{},namusyaka,"dblock, namusyaka, towanda, marshal-lee",rngtng,"Y,core","dblock commented on Jan 11



Merged. Thanks!","Y,core","dblock commented on Jan 11



This needs a spec for the behavior of after returning a Rack response and overwriting the app response, so we don't break this in the future. Otherwise it's good to go","Y,improve","rngtng commented on Feb 1



continue discussion from #1255: this change breaks https://github.com/aserafin/grape_logging (and all other middlewares which assumes @app_response isn't nil) on application error.



While updates on the middleware are pending, I'd propose to at least rescue any after call errors silently:",N,{},Merged.,{},,

3O0M2G5VC6Q8OUU9OYS6WZW45QH490,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:02 PDT 2016,1,BatchId:2537954;,3600,604800,Sun Oct 02 14:40:02 PDT 2016,,,3KIBXJ1WD6IYV3LC1H35OQBAAF5OKT,ADUKAOL850DWV,Approved,Mon Sep 26 04:36:49 PDT 2016,Mon Sep 26 04:50:42 PDT 2016,Mon Oct 03 04:50:42 PDT 2016,Wed Sep 28 14:45:57 PDT 2016,,,833,100% (2/2),100% (2/2),100% (2/2),1194,https://github.com/klarna/HiveRunner/pull/25,https://github.com/klarna/HiveRunner/graphs/contributors,FALSE,stefansperber,stefansperber,"PelleUllberg, teabot",4,12,{},johndeveloper,stefansperber,"PelleUllberg, teabot,stefansperber","stefansperber,massdosage","Y,core","I agree that the build failure looks unrelated to your changes.

$$$$

@teabot for the hours you put into this project!","Y,others","You should also have a test for empty statements and to check the trimming you do in the class under test.

$$$$

What about a test for whatever would result in a null file path ended up in the class under test?","Y,bug","Travis CI test failures do not seem to be related to changes in the branch.

$$$$

I can see why it'd make sense to remove executeScript.",N,{},Merged.,{},,

3JHB4BPSFKXFDZH7MVZJZ2X91IZ9QN,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:04 PDT 2016,2,BatchId:2537954;,3600,604800,Tue Oct 04 10:53:02 PDT 2016,,,308XBLVESJS0ZD9YNW7GJIXPZFHBRL,ABFSVRWVFHZ6P,Approved,Sat Oct 01 02:47:32 PDT 2016,Sat Oct 01 03:12:56 PDT 2016,Sat Oct 08 03:12:56 PDT 2016,Sat Oct 01 19:06:05 PDT 2016,,,1524,100% (39/39),100% (39/39),100% (39/39),1195,https://github.com/mapsme/omim/pull/1318,https://github.com/mapsme/omim/graphs/contributors,TRUE,mgsergio,deathbaba,"deathbaba, vng, yunikkk",5,12,{},0pointr,mgsergio,"kshalnev, deathbaba, darina, VladiMihaylenko, rokuz, Zhdanovich, Komzpa, trashkalmar, milchakov, gardster, mgsergio, Zverik, vng, ygorshenin, syershov, igrechuhin, mapsmetest, bykoianko, ExMix, yunikkk, mpimenov",{},"Y,core","LGTM

DUDE

JTTP



$$$$



LGTM","Y,core","_œ___¶____ _¸ _±_µ_· Ñ€_µ___µ_ºÑÅ_¿_°, ____ _¿Ñ€_¸_´_µÑ‚ÑÅÑè _¿_¸ÑÅ_°Ñ‚ÑŒ Ñ†_¸_º_», ____ _±Ñƒ_´_µÑ‚ Ñ…Ñƒ_¶_µ Ñ‡_¸Ñ‚_°Ñ‚ÑŒÑÅÑè _¸ _±Ñƒ_´_µÑ‚ _±___»ÑŒÑˆ_µ _º___´_°.

_ _µ__Ñƒ_»ÑèÑ€_º_¸ Ñ€_°_±__Ñ‚_°Ñ_Ñ‚ _·_° _»_¸___µ_______µ __Ñ€_µ__Ñè _¸ Ñ‚__Ñ‡___µ_µ _¿_µÑ€_µ_´_°Ñ_Ñ‚ ÑÅ__Ñ‹ÑÅ_» _¶_µ_»_°_µ________.



$$$$



_¯ _´Ñƒ___°Ñ_, ___¸_·_°Ñ‡_µ__. _ŸÑ€_¸ setprecision Ñˆ_¸Ñ€_¸___° _¿___»Ñè __ÑÅÑ‘ Ñ€_°______ ___µ ___µ__ÑŒÑˆ_µ Ñ‚Ñ€Ñ‘Ñ…. _ê _µÑÅ_»_¸ ___µ__ÑŒÑˆ_µ, Ñ‚__ _»_¸Ñˆ___¸__ _¿Ñ€___±_µ_» __ _·___°Ñ‡_µ___¸_¸ Ñ‚___»ÑŒ_º__ ___µÑˆ_°_µÑ‚. _›ÑƒÑ‡Ñˆ_µ Ñƒ_´_°_»_¸Ñ‚ÑŒ.

(_´___±_°___»Ñè_» @syershov)",N,{},N,{},Merged.,{},,

3JHB4BPSFKXFDZH7MVZJZ2X91IZ9QN,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:04 PDT 2016,2,BatchId:2537954;,3600,604800,Tue Oct 04 10:53:02 PDT 2016,,,3M81GAB8A170NCUYAHIGESNK2KTBQF,A3OFN4WD0KQS68,Rejected,Sun Sep 25 20:24:56 PDT 2016,Sun Sep 25 20:28:08 PDT 2016,Sun Oct 02 20:28:08 PDT 2016,,Tue Sep 27 10:53:01 PDT 2016,Submitter is wrong. If you have doubts about that. Please contact di.chen.mturk@gmail.com,192,0% (0/1),0% (0/1),0% (0/1),1195,https://github.com/mapsme/omim/pull/1318,https://github.com/mapsme/omim/graphs/contributors,TRUE,mgsergio,deathbaba,"deathbaba, vng, yunikkk",5,12,no comment,sunaku,https://trello.com/c/TKooF4Q0/25-cuisine,"deathbaba, vng, yunikkk",https://trello.com/c/TKooF4Q0/25-cuisine,"Y,core|Y,others",no comment,"Y,core|Y,others",no comment,"Y,bug",ok,"Y,not fit.|Y, no value|Y,others",okkk,Merged.,yes,,

3VDVA3ILID36B5KYFMFEQIBOXJ21GB,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:04 PDT 2016,1,BatchId:2537954;,3600,604800,Sun Oct 02 14:40:04 PDT 2016,,,3URFVVM1666OX34VX4IOABRCWBZUZT,A1WTD5OHCQS3TG,Approved,Mon Sep 26 05:32:55 PDT 2016,Mon Sep 26 05:43:18 PDT 2016,Mon Oct 03 05:43:18 PDT 2016,Wed Sep 28 14:46:03 PDT 2016,,,623,30% (3/10),30% (3/10),30% (3/10),1207,https://github.com/elastic/elasticsearch/pull/15776,https://github.com/elastic/elasticsearch/graphs/contributors,TRUE,s1monw,s1monw,"kimchy, s1monw, javanna",6,13,{},zabza13,s1monw,"kimchy, s1monw, javanna","rjernst,jaymode,clintongormley,ruckc,uboness,nik900","Y,others",+1 on the concept of moving context to ThreadLocal and +1 on dealing with those at the ThreadPool level. The actual change I'll need to read more carefully.,"Y,others",@s1monw you marked this as breaking but I don't see a note in the breaking changes docs. I presume this breaks the Java API for plugins? Would you mind adding a note please?,"Y,bug|Y,improve",It would be nice if this linked to the Breaking Changes location... can't seem to find the replacement for Java API consumers of ContentAndHeader methods...,N,{},"Rej, implemented.",@clintongormley ok,,

3421H3BM9A5YRCDUR5FA21LNNN79JW,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:02 PDT 2016,1,BatchId:2537954;,3600,604800,Sun Oct 02 14:40:02 PDT 2016,,,39OWYR0EPLFZ9VX06TL6A4H7GTMFYS,AMZVZJL54O491,Approved,Mon Sep 26 04:31:46 PDT 2016,Mon Sep 26 04:33:51 PDT 2016,Mon Oct 03 04:33:51 PDT 2016,Wed Sep 28 14:46:02 PDT 2016,,,125,80% (64/80),80% (64/80),80% (64/80),1212,https://github.com/apache/incubator-zeppelin/pull/604,https://github.com/apache/incubator-zeppelin/graphs/contributors,FALSE,doanduyhai,asfgit,"Leemoonsoo, anthonycorbacho, bzz",6,13,{},{},{},"Leemoonsoo, anthonycorbacho, bzz, minahlee, corneadoug","jongyoul, ahyoungryu, leemoonsoo, felixcheung, elbamos","Y,core","@Leemoonsoo

The Apache Software Foundation member

Leemoonsoo commented on Feb 4



Thanks @doanduyhai

LGTM and merge if there're no more discussion!","Y,others","Leemoonsoo commented on Feb 4



Could you also add ZEPPELIN_VERSION field in _config.yml like https://github.com/Leemoonsoo/incubator-zeppelin/blob/ZEPPELIN-559-ver/docs/_config.yml#L24 ?",N,{},N,{},Merged.,{},,

391FPZIE4CA0KY671G7GMKSMNGCUH2,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:04 PDT 2016,2,BatchId:2537954;,3600,604800,Wed Oct 05 14:46:03 PDT 2016,,,36TFCYNS45YUNMYWWNN4UBMBU39HXS,A1WTD5OHCQS3TG,Rejected,Mon Sep 26 05:43:23 PDT 2016,Mon Sep 26 05:52:02 PDT 2016,Mon Oct 03 05:52:02 PDT 2016,,Wed Sep 28 14:46:02 PDT 2016,Q5 is wrong. We approve HIT with at least correct answer for Q5 and the preparation parts. If you have doubts about that. Please contact di.chen.mturk@gmail.com,519,30% (3/10),30% (3/10),30% (3/10),1220,https://github.com/SatelliteQE/robottelo/pull/3213,https://github.com/SatelliteQE/robottelo/graphs/contributors,TRUE,tkolhar,sthirugn,"elyezer, omaciel, Ichimonji10",3,13,{},zabza13,tkolhar,"elyezer, omaciel, Ichimonji10","sthirugn,rplevka","Y,core",yeah +1 - I did not see the notification message.,"Y,core","I dont see test cases for these scenarios. can you please review and add?



Add test case for Latest Events widget



Add test case for Sync Overview widget



Add test case for Content Host Subscription Status widget



Add test case for Current Subscription Totals widget



Add test case for Host Collections widget



Add test case for Run distribtuion in the last 30 minutes widget



Add test case for Latest Errata widget



Add a new test case - test_positive_remove_widget. This should assert -



the widget is removed

the removed widget should be listed under Manage -> Add Widgets

Add a new test case - test_positive_add_removed_widget



Add a new test case - test_positive_minimize_widget. This should assert -



the minimized widget should be listed under Manage -> Restore Widgets

Add a new test case - test_positive_restore_minimized_widget



Add a new test case - test_positive_restore_widget.



Add a new test case - test_toggle_auto_refresh.



Add a new test case - test_positive_search



Add a new test case - test_positive_clear_search_box",N,{},N,{},"Rej, implemented.",@tkolhar I asked to remove just the prefix @Test:. but you removed the entire test case name. Please update the test case name again without the prefix @Test:. Can you please look at some other recent tests for example? like https://github.com/SatelliteQE/robottelo/pull/3246/files,,

391FPZIE4CA0KY671G7GMKSMNGCUH2,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:04 PDT 2016,2,BatchId:2537954;,3600,604800,Wed Oct 05 14:46:03 PDT 2016,,,3QXNC7EIPJJTBQA2VZA58G1C2P190X,ABFSVRWVFHZ6P,Approved,Sat Oct 01 00:44:35 PDT 2016,Sat Oct 01 00:53:11 PDT 2016,Sat Oct 08 00:53:11 PDT 2016,Sat Oct 01 19:06:05 PDT 2016,,,516,100% (39/39),100% (39/39),100% (39/39),1220,https://github.com/SatelliteQE/robottelo/pull/3213,https://github.com/SatelliteQE/robottelo/graphs/contributors,TRUE,tkolhar,sthirugn,"elyezer, omaciel, Ichimonji10",3,13,{},0pointr,tkolhar,"JacobCallahan,cswiii,rochacbruno,sghai,omaciel,oshtaier,rplevka,renzon,gkhachik,abalakh,elyezer,tkolhar,svtkachenko,AdamSaleh,sthirugn,lpramuk,Ic himonji10,kbidarkar,jyejare",{},"Y,core","I have looked over the stubs and they are good. I commented for some rst related stuff and also need to write the test names following the convention introduced by #3083.



I will ACK and let @sthirugn take a better look since he will be able to ensure the test naming convention.","Y,core","Please fix assert statements across all test cases to have a maximum of 79 characters per line.

$$$$

Not all tests here are tier3 in my opinion. Can you please revisit tier classification as per below:



Tier 1 - Basic entity crud tests

Tier 2 - Tests involving entity associations

Tier 3 - System integration type tests

$$$$

@tkolhar I asked to remove just the prefix @Test:. but you removed the entire test case name. Please update the test case name again without the prefix @Test:. Can you please look at some other recent tests for example? like https://github.com/SatelliteQE/robottelo/pull/3246/files",N,{},N,{},Merged.,{},,

3566S7OX5D7NIC9XMJBKK5YVYGJ71E,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:04 PDT 2016,1,BatchId:2537954;,3600,604800,Sun Oct 02 14:40:04 PDT 2016,,,3B3WTRP3DCQ070DGAMEJR4URYGV92C,AMZVZJL54O491,Approved,Mon Sep 26 04:26:56 PDT 2016,Mon Sep 26 04:29:24 PDT 2016,Mon Oct 03 04:29:24 PDT 2016,Wed Sep 28 14:46:04 PDT 2016,,,148,80% (64/80),80% (64/80),80% (64/80),1226,https://github.com/Particular/docs.particular.net/pull/1026,https://github.com/Particular/docs.particular.net/graphs/contributors,TRUE,MarcinHoppe,andreasohlund,"SimonCropp, SzymonPobiega, dannycohen",4,13,{},{},MarcinHoppe,"SimonCropp, SzymonPobiega, dannycohen, sealfeldman, mauroservienti, weralabaj","wojcikmike, simoncropp, ramonsmits",N,{},"Y,core","ramonsmits commented on Jan 12



What about the following?



code",N,{},N,{},Merged.,{},,

3LB1BGHFL2K76GH7BBLU3O1NUYIYTE,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:02 PDT 2016,1,BatchId:2537954;,3600,604800,Sun Oct 02 14:40:02 PDT 2016,,,37Z929RLGAWCWE3S27Y69M87QGFSTE,AMZVZJL54O491,Approved,Mon Sep 26 01:51:10 PDT 2016,Mon Sep 26 02:10:33 PDT 2016,Mon Oct 03 02:10:33 PDT 2016,Wed Sep 28 14:46:00 PDT 2016,,,1163,80% (64/80),80% (64/80),80% (64/80),1233,https://github.com/kubernetes/kubernetes/pull/19445,https://github.com/kubernetes/kubernetes/graphs/contributors,FALSE,justinsb,justinsb,"k8s-merge-robot, brendandburns, lavalamp",4,13,{},zantx3,justinsb,"k8s-merge-robot, brendandburns, lavalamp, smarterclayton, thoockin, wojtek-t, caesarxuchao, derekwaynecarr, gmarek, mikedanese,nikhiljindal","googlebot, k8s-teamcity-mesosphere, therc, k8s-bot, quinton-hoole,","Y,core","quinton-hoole commented on Jan 11



@justinsb Relatively minor nits that can be addressed in a separate PR. LGTM for this one to keep things moving forward.","Y,core","quinton-hoole on Jan 11



Is create-load-balancer synchronous or asynchronous? I'm concerned that you might generate an invalid error here if propagation of the newly created LB is slow. Perhaps add a small number of retries before failing?",N,{},"Y,not fit.","justinsb commented on Jan 28



I think this is probably really only useful as part of HA, so probably can be part of that broader effort post 1.2.



Can I tag this ""not for 1.2"" somehow?","Rej, implemented.","justinsb commented on Feb 19



Removed the LGTM label for now; we've punted this to 1.3 and I'll rework it at that time.",,

3RTFSSG7T8UFYYE2N11FW06QPDWWLA,3PZBZMF78J7ICNQ2210RDQLULP2X9O,Tagging Github Comments. (GitHub User Only. Reward Available.),Read comments for code contribution. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy, Reward.",$0.50 ,Sun Sep 25 14:40:04 PDT 2016,2,BatchId:2537954;,3600,604800,Wed Oct 05 14:46:01 PDT 2016,,,3CFJTT4SXUE0423PKS1R0OA2TP1I7O,ABFSVRWVFHZ6P,Approved,Fri Sep 30 07:55:12 PDT 2016,Fri Sep 30 08:04:02 PDT 2016,Fri Oct 07 08:04:02 PDT 2016,Sat Oct 01 19:06:05 PDT 2016,,,530,100% (39/39),100% (39/39),100% (39/39),1235,https://github.com/OpenRCT2/OpenRCT2/pull/2692,https://github.com/OpenRCT2/OpenRCT2/graphs/contributors,TRUE,marijnvdwerf,IntelOrca,"IntelOrca, duncanspumpkin, marijnvdwerf",5,13,{},0pointr,marijnvdwerf,"IntelOrca, duncanspumpkin, marijnvdwerf, Gymnasiast, zsilencer, AaronVanGeffen",{},N,{},"Y,core","I would advise not adding any more other things to this PR as it will overcomplicate it and delay it from being merged. Ideally the changes related to RCT2_ADDRESS_COMMON_FORMAT_ARGS should be one PR, and the ride entries another. Because the RCT2_ADDRESS_COMMON_FORMAT_ARGS stuff looks fine to be merged whilst the other stuff is still WIP.",N,{},N,{},Merged.,{},,
