HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.HIT_ID,Input.pr_link,Input.contributors_url,Input.closer,Input.cores,Input.p_num,Input.c_num,Answer.Comment,Input.submitter,Answer.P1_Submitter,Answer.P2_Cores,Answer.P3_External,Answer.Q1_Support?,Answer.Q1_Support_Comment,Answer.Q2_Alternate S?,Answer.Q2_Alternate_Comment,Answer.Q3_Dis_Solution?,Answer.Q3_Dis_Solution_Comment,Answer.Q4_Dis_Problem?,Answer.Q4_Dis_Problem_Comment,AssignmentId,Input.merged,Answer.Q5_Outcome?,Answer.Q5_Outcome_Comment?,Approve,Reject

38O9DZ0A62BB3XDOMD66JA84YX7620,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:50 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:44 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Wed Nov 09 05:59:42 PST 2016,Wed Nov 09 06:09:18 PST 2016,Wed Nov 16 06:09:18 PST 2016,,,,576,98% (39/40),0% (0/1),0% (0/1),1293,https://github.com/sindresorhus/ava/pull/407,https://github.com/sindresorhus/ava/graphs/contributors,sindresorhus,"sindresorhus, jamestalmage",5,16,{},jamestalmage,jamestalmage,"vdemedes, sindresorhus, jamestalmage, ariporad, novemberborn","kentcdodds, kevva","Y,core","Love it!



$$$$



Looks good :D","Y,core",Maybe mention the benefit of specifying config here instead of the CLI is that it will be used when you run it with $ ava.,N,{},N,{},3H7XDTSHKDF1YQYV2C907SW4LJXGWN,TRUE,YY,sindresorhus merged commit dd88680 into avajs:master on Jan 5,,

329E6HTMSWQ7NUUWSHECC3IE56R3KD,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:50 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:44 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Tue Nov 08 04:44:41 PST 2016,Tue Nov 08 04:53:43 PST 2016,Tue Nov 15 04:53:43 PST 2016,,,,542,98% (39/40),0% (0/1),0% (0/1),1297,https://github.com/juju/charmstore/pull/503,https://github.com/juju/charmstore/graphs/contributors,jujugui,"jujugui, frankban, rogpeppe",5,16,{},rogpeppe,rogpeppe,"jrwren, axw, jujugui, urosj, alesstimec, frankban, rogpeppe, jujubot","mhilton, fabricematrat","Y,core",":+1:



$$$$



:+1: This is looking very good, thanks.



While I think this PR is fine to land as it is I can't quite shake the feeling that there is something wrong with the semantics. Invalidating perfectly good data because you haven't fetched all of the data that is potentially required seems wrong here. I'll have a think about this.



The lack of any performance measurements also worries me, I'm not certain that this is actually achieving much.",N,{},N,{},N,{},3SKEMFQBZ4TVABYWU0E9R4LB93A8KL,TRUE,YY,jujugui merged commit ee6dce1 into juju:v5-unstable on Jan 5,,

3LN3BXKGC0JZC601CA4ZJ81IWI4WG9,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:50 PDT 2016,1,BatchId:2567999;,3600,604800,Mon Oct 31 21:50:50 PDT 2016,,,AT9K95UXPKH3J,Approved,Tue Oct 25 09:00:04 PDT 2016,Tue Oct 25 09:04:23 PDT 2016,Tue Nov 01 09:04:23 PDT 2016,2016-11-01 16:05:14 UTC,,,259,100% (3/3),100% (3/3),0% (0/0),1312,https://github.com/theonion/django-bulbs/pull/96,https://github.com/theonion/django-bulbs/graphs/contributors,collin,"benghaziboy, csinchok, MichaelButkovic",4,16,{},collin,collin,"benghaziboy, csinchok, MichaelButkovic","mparent61, kand","Y,core|Y,others","benghaziboy  commented on Mar 2  







we need a way to silence all these fixtures in PRs, but other than that....

:+1: 

$$$$



MichaelButkovic  commented on Mar 2  







LGTM",N,{},"Y,bug","MichaelButkovic  commented on Mar 2  







actually no lgtm until  re-open bengazi investigation to get to the truth  is finished",N,{},3WQ3B2KGE94C68AHP2S1DRFC4BOB1N,TRUE,YY,"bulbs-poll  #96 







 Merged 

 

collin  merged 79 commits into master from polls on Mar 7",,

3B623HUYJ4ERCADA97IAU6HZ2MW8SR,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:50 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:44 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Tue Nov 08 05:02:53 PST 2016,Tue Nov 08 05:08:55 PST 2016,Tue Nov 15 05:08:55 PST 2016,,,,362,98% (39/40),0% (0/1),0% (0/1),1315,https://github.com/OpenRCT2/OpenRCT2/pull/2616,https://github.com/OpenRCT2/OpenRCT2/graphs/contributors,IntelOrca,"IntelOrca, duncanspumpkin, marijnvdwerf",6,17,{},atmaxinger,atmaxinger,"Gymnasiast, adrian17, IntelOrca, AaronVanGeffen, marijnvdwerf, janisozaur, zsilencer, duncanspumpkin, trigger-death","Broxzier, atmaxinger","Y,core","Only minor comments now, mostly w.r.t. signedness of variables.



Otherwise :+1: from me.



$$$$



I'm happy with the code, though personally I'd ask you to squash the history so it's a bit cleaner.",N,{},"Y,improve","Without any file management, this change would make the amount of saves pile up really quickly. Maybe you can prepend a sequence number to the date so you can retain a certain (configurable) amount of autosaves?



$$$$



I don't think this warrants an option. Just keep the last ten files and use timestamps.



$$$$



Technically this should work, but I have some comments.



We already have some time-related code in platform/, although it's using gmtime rather than localtime, like you do, which perhaps makes more sense. Originally I remember doing that because Windows already had time implemented using its WinApi functions, but seeing that this not limited to POSIX, perhaps we should switch all of platform to time.h? @IntelOrca what's your stance on that?



I don't like the name of the function, especially with the kind of parameter it receives. When I first looked at it, I thought the parameter to delete_old_autosaves is a count of how many saves to remove. Can you come up with a better name? Something like limit_save_count. Again @IntelOrca any comments?



One thing that is overlooked entirely, I think, is that with autosaves you generally have them in some order, and when limiting their amount, the user would like to get rid of the oldest first. I believe the platform file enumeration gives no guarantees on the order the files are enumerated in, but it rather depends on filesystem. That said, we can end up deleting most recent save every time we call this function and retaining old and long forgotten saves, which in my opinion renders the whole autosave functionality useless.",N,{},3MB8LZR5BGHQPIIFOPNDW97HT4RKL3,TRUE,YY,IntelOrca merged commit 015c760 into OpenRCT2:develop on Jan 4,,

3I4E7AFQ2KNHBRM8PBKRT1MZKG3TJK,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:49 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:40 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Wed Nov 09 09:00:16 PST 2016,Wed Nov 09 09:06:58 PST 2016,Wed Nov 16 09:06:58 PST 2016,,,,402,98% (39/40),0% (0/1),0% (0/1),1317,https://github.com/apache/spark/pull/10570,https://github.com/apache/spark/graphs/contributors,asfgit,"mateiz, rxin, pwendell",4,17,{},srowen,srowen,"ankurdav, mateiz, rxin, pwendell, JoshRosen, tdas, ankurdave, srowen, marmbrus, ScrapCodes, aarondav, andrewor14, kayousterhout, jegonzal,  holdenk, markhamstra, mengxr, jkbradley",thunterdb,"Y,others",@srowen thanks a lot for the cleanup! Just two comments.,"Y,others","cc @jkbradley



@srowen I have some concerns about the number of files being touched by this PR, it may be hard to merge without an ever-present conflict somewhere. Maybe splitting it will go faster?",N,{},N,{},3LRLIPTPERX9TZRBRYYNNVR60KSKA6,FALSE,NY,Merged to master,,

3OQQD2WO8IUGHZ48SET0ZN31D223I2,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:49 PDT 2016,2,BatchId:2567999;,3600,604800,Wed Nov 16 11:57:14 PST 2016,,,A2958TQAW43MP6,Approved,Thu Nov 03 10:19:47 PDT 2016,Thu Nov 03 10:24:26 PDT 2016,Thu Nov 10 09:24:26 PST 2016,2016-11-10 17:24:29 UTC,,,279,100% (12/12),100% (12/12),100% (11/11),1318,https://github.com/excilys/androidannotations/pull/1673,https://github.com/excilys/androidannotations/graphs/contributors,WonderCsabo,"pyricau, WonderCsabo, yDelouis",3,17,{},shiraji,shiraji,"pyricau, WonderCsabo, yDelouis","dodgex,","Y,core","That's good idea, @WonderCsabo . I used your idea to change the code so that now AfterViewsHandler triggers to generate OnFinishInflate","Y,others",i think the generation of this code should be triggered by AfterViewsHandler (and View(s)ByIdHandler if necessary?) as soon as it is required.,"Y,bug|Y,inconsistency","I do not think this is a good approach. It is not enough to check if the current class has @AfterViews in i, for example there can be @AfterViews in the superclass.","Y,others",Is init_() empty method if there is no @AfterViews?,3MTMREQS4W60OZLSGCHQB6L0KA5AWT,FALSE,NN,WonderCsabo closed this on Jul 17,,

306996CF6W8AKOCNZ0N0P7KRKS41BZ,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:50 PDT 2016,1,BatchId:2567999;,3600,604800,Tue Nov 08 16:18:28 PST 2016,,,A2958TQAW43MP6,Approved,Fri Nov 04 08:46:03 PDT 2016,Fri Nov 04 08:56:32 PDT 2016,Fri Nov 11 07:56:32 PST 2016,2016-11-11 15:57:29 UTC,,,629,100% (12/12),100% (12/12),100% (11/11),1319,https://github.com/neos/neos-development-collection/pull/323,https://github.com/neos/neos-development-collection/graphs/contributors,aertmann,"aertmann, kdambekalns, kitsunet",4,17,{},dfeyer,dfeyer,"aertmann, kdambekalns, kitsunet, hlubek","gerhard-boden, aertmann, gerhard-boden","Y,others","Hey @dfeyer looks pretty decent



$$$$



Very nice, thanks! I will hopefully find the time to do some testing this weekend.



$$$$



Just did some testing works great! :+1:","Y,core",Depends on neos/flow-development-collection#195,"Y,improve|Y,inconsistency","@gerhard-boden No, 404 means the page isn't there‰ÛÒand probably never was. A 410 on the other hand clearly states that what used to exist is now gone. Big difference.",N,{},3YW4XOSQKR9R27JNPT9WIH70WDTU1M,TRUE,YY,aertmann merged commit 0a48355 into neos:master on Apr 27,,

37VUR2VJ6ADTUT4TD0JV0RQ92D41C6,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:50 PDT 2016,1,BatchId:2567999;,3600,604800,Mon Oct 31 21:50:50 PDT 2016,,,A1M6A01CROTF3K,Approved,Tue Oct 25 23:37:33 PDT 2016,Tue Oct 25 23:45:25 PDT 2016,Tue Nov 01 23:45:25 PDT 2016,Tue Nov 01 17:51:51 PDT 2016,,,472,100% (9/9),100% (9/9),0% (0/0),1320,https://github.com/kubernetes/kubernetes/pull/19267,https://github.com/kubernetes/kubernetes/graphs/contributors,k8s-merge-robot,"k8s-merge-robot, brendandburns, lavalamp",4,17,{},caesarxuchao,caesarxuchao,"k8s-merge-robot, brendandburns, lavalamp, caesarxuchao, justinsb, derekwaynecarr, mikedanese",k8s-teamcity-mesosphere,N,{},"Y,core",shouldnt the default value include extensions/v1beta1 instead of just extensions?,"Y,improve","I dont see the code that calls main with test=true.

Will this be auto-updated anytime someone updates the generator code?","Y, no value","Can you please explain a bit more?



$$$$



Whats wrong if GenerateType is called twice?



$$$$



Why test_release_1_1? Do you plan to rename this to release_1_1 later?

$$$$



How will GenerateType() be called multiple times in the same run?",3SNLUL3WO5B4SENRI3RF2WGER6DULE,TRUE,YY,k8s-merge-robot merged commit 6d36748 into kubernetes:master on 13 Jan,,

33N1S8XHHM962MF35E33BPRUBVPZ12,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:50 PDT 2016,1,BatchId:2567999;,3600,604800,Mon Oct 31 21:50:50 PDT 2016,,,A38NFX88VZDMJ3,Approved,Tue Oct 25 18:34:51 PDT 2016,Tue Oct 25 18:47:07 PDT 2016,Tue Nov 01 18:47:07 PDT 2016,Tue Nov 01 17:51:50 PDT 2016,,,736,100% (7/7),100% (7/7),0% (0/0),1331,https://github.com/FriendsOfSymfony/FOSRestBundle/pull/1299,https://github.com/FriendsOfSymfony/FOSRestBundle/graphs/contributors,lsmith77,"lsmith77, Ener-Getick, xabbuh",4,18,{},Ma27,Ma27,"lsmith77, Ener-Getick, xabbuh, everzet",SofHad,"Y,core",Otherwise seems good to me,"Y,core",Wouldn't it be possible to do this in the 1.8 release?,"Y,improve",please change this to int|null.,N,{},3Z2R0DQ0JI2H2W4XIXU5JIV2ZHBE29,TRUE,YY,lsmith77 merged commit 0b6989a into FriendsOfSymfony:master on Jan 12,,

385MDVINFC3938Q2KGP2GLTYOALWJD,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:50 PDT 2016,1,BatchId:2567999;,3600,604800,Mon Oct 31 21:50:50 PDT 2016,,,AT9K95UXPKH3J,Approved,Tue Oct 25 04:08:36 PDT 2016,Tue Oct 25 04:14:27 PDT 2016,Tue Nov 01 04:14:27 PDT 2016,2016-11-01 11:14:30 UTC,,,351,100% (3/3),100% (3/3),0% (0/0),1337,https://github.com/Z3Prover/z3/pull/401,https://github.com/Z3Prover/z3/graphs/contributors,wintersteiger,"NikolajBjorner, wintersteiger, leodemoura",4,18,{},cheshire,https://github.com/wintersteiger,"NikolajBjorner, wintersteiger, leodemoura",https://github.com/cheshire,"Y,core","Alright, I've added a bunch of comments to the commits, would be nice if you could take a look at those. 



It might make sense to split this PR into two, separating the purly syntactic changes from the others. Then we can at least merge all those annotations (do they have any consequences at all?), curly braces and indentation fixes right away.",N,{},N,{},N,{},30LB5CDZNDY8HHSFZX44L435QJZ0Z4,TRUE,YY,"No, you should have filled in the documentation instead of removing the macros. At the time you had your cursor on them it would have been zero effort. Now someone else (probably myself) has to go and figure out what's missing. 



So, yes, OK to merge. I expect Java 1.6 was not tested, so if there are any users of that era left, we may get complaints about those equality functions after merging this.",,

34HEO7RUG6ITUJ6CRG2J0NIY68DAR9,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:51 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:46 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Mon Nov 07 04:43:04 PST 2016,Mon Nov 07 05:12:14 PST 2016,Mon Nov 14 05:12:14 PST 2016,,,,1750,98% (39/40),0% (0/1),0% (0/1),1338,https://github.com/rust-lang/rust/pull/30740,https://github.com/rust-lang/rust/graphs/contributors,bors,"bors, brson, alexcrichton",7,18,{},bluss,bluss,"lkuper, thestinger, alexcrichton, erickt, jbclements, bors, pnkfelix, bblum, steveklabnik, nikomatsakis, graydon, catamorphism, eddyb, pcwalton, petrochenkov, brson, eholk","rust-highfive, shepmaster, Grankro, dotdash, ranma42","Y,others","Wow, awesome stuff!



$$$$



As a bit of ""real world"" performance information, I pulled this down and used it for SXD.



Parsing a 16M XML file



Valgrind reported that str::from_utf8 took this much of the total run time:



Rust 1.5	This PR

5.47%	0.29%

And I measured a ~1.25% overall speedup in the program.



Parsing a 111M XML file



Rust 1.5	This PR

4.12%	0.22%

And I measured a ~1.1% overall speedup in the program.



Thanks for the awesome performance gains!



$$$$



Thanks a lot @shepmaster! Always encouraging to get that kind of feedback! :heart_eyes_cat: And thanks to @bluss for getting this started, I've been completely blind to the masking quick check when I initially looked into this a few weeks ago! :beers:","Y,core",Sweet wins. r=me but please do extract 2 to a more descriptive constant.,N,{},N,{},3FTF2T8WLS6MJGBNO63QFBAGFQLW9V,TRUE,YY,bors added a commit that referenced this pull request on Jan 16,,

32CXT5U14GR7RN5EYCDA97ZNNJH8U7,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:51 PDT 2016,1,BatchId:2567999;,3600,604800,Mon Oct 31 21:50:51 PDT 2016,,,A1M6A01CROTF3K,Approved,Tue Oct 25 02:25:50 PDT 2016,Tue Oct 25 02:42:02 PDT 2016,Tue Nov 01 02:42:02 PDT 2016,2016-11-01 09:42:14 UTC,,,972,100% (9/9),100% (9/9),0% (0/0),1342,https://github.com/akka/akka/pull/19384,https://github.com/akka/akka/graphs/contributors,rkuhn,"viktorklang, patriknw, rkuhn",6,18,{},johanandren,johanandren,"viktorklang, patriknw, rkuhn, jboner, pvlugter","ktoso, patriknw",N,{},"Y,others","Another possibility would be to use Duration.Undefined.



$$$$



I was just talking about the internal representation, reconnectTimeout.isDefined would then be reconnectTimeout.isFinite instead, but this is not an important point","Y,improve","Thought about it for a bit, I like that it is clear that it is disabled rather than not defined - there is no timeout. If you feel it is important I'll change it.",N,{},32SVAV9L3GX3X1J46S6O69A3KA23AR,TRUE,YY,rkuhn merged commit ca84664 into master on 11 Jan,,

38RHULDV9Y3D8X6W2Y424KEYBVWWI1,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:50 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:44 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Wed Nov 09 06:05:01 PST 2016,Wed Nov 09 06:13:33 PST 2016,Wed Nov 16 06:13:33 PST 2016,,,,512,98% (39/40),0% (0/1),0% (0/1),1344,https://github.com/caciviclab/disclosure-backend/pull/124,https://github.com/caciviclab/disclosure-backend/graphs/contributors,bcipolli,"palewire, bcipolli, aboutaaron",3,18,{},bcipolli,bcipolli,"tdooner, aboutaaron, mikeubell, palewire, armendariz, bcipolli, adborden",{},"Y,core","Great, looking better!



$$$$



This looks like a good approach in general, and I think breaking out utility methods like all the parse_ methods will make it pretty easy to audit and test the logic we apply to import the data.



I didn't see any logic to handle amendments, I suppose that can come later if we need it.



:+1:",N,{},N,{},N,{},3DR23U6WE62BMVYA1CE1K54T499TE2,TRUE,YY,bcipolli merged commit d4188c5 into caciviclab:master on Jan 16,,

371DNNCG44QSRAQPY7N04BDL45A8TG,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:50 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:45 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Mon Nov 07 05:21:54 PST 2016,Mon Nov 07 05:33:23 PST 2016,Mon Nov 14 05:33:23 PST 2016,,,,689,98% (39/40),0% (0/1),0% (0/1),1345,https://github.com/facebook/react/pull/5811,https://github.com/facebook/react/graphs/contributors,zpao,"zpao, spicyj, jimfb",5,18,{},jontewks,jontewks,"fisherwebdev, acdlite, gaearon, subtleGradient, jimfb, syranide, jordwalke, vjeux, hellendag, keyanzhang, zpao, mcsheffrey, yungsters, cpojer, bgw, sebmarkbage, petehunt, benjamn, spicyj, chenglou","facebook-github-bot, rickbeerendonk","Y,core","Looks great, thanks @jontewks!","Y,core","@zpao just updated shallowEqual internally to use an Object.is polyfill which we should sync out soon.



Also why not use just x !== x to check if x is NaN?",N,{},N,{},31EUONYN2WRCBEFO0LHCQZMR3GTVOM,TRUE,YY,zpao merged commit 31d3bfa into facebook:master on Jan 19,,

3R5OYNIC2CXDX2P6KOPBQX8BTF9TPK,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:51 PDT 2016,1,BatchId:2567999;,3600,604800,Tue Nov 08 16:18:31 PST 2016,,,A2958TQAW43MP6,Approved,Tue Nov 01 23:50:30 PDT 2016,Wed Nov 02 00:03:23 PDT 2016,Tue Nov 08 23:03:23 PST 2016,2016-11-09 07:03:38 UTC,,,773,100% (12/12),100% (12/12),100% (11/11),1351,https://github.com/ethereum/go-ethereum/pull/2116,https://github.com/ethereum/go-ethereum/graphs/contributors,obscuren,"obscuren, fjl, karalabe",6,18,{},obscuren,obscuren,"obscuren, fjl, karalabe, zelig, maran, wanderer, zsfelfoldi, SilentCicero, #19ethers","robotally, codecov-io, Gustav-Simonsson,  tgerring","Y,others","Vote 	Count 	Reviewers

:+1: 	2 	@Gustav-Simonsson @karalabe





$$$$



@obscuren refactoring commit sounds good but agree to add it after homestead release.","Y,others","@obscuren agreed, this is a potential DoS vector. CALLER is meant to be a single lookup, and MAX_CALLDEPTH - 1 calls to caller.Caller() is too expensive for the Gbase (2) gas cost.



Should be fine to cache the caller here, it'll cost a max of 1024 * 20 bytes which isn't too bad compared to what would already be used by all the recursive exec envs. We could consider bumping gas cost of DELEGATECALL slightly to account for this.","Y,bug",This is wrong actually. I'm modifying the code so that this isn't ignored in the EVM. I'm not sure why this was done in the first place.,"Y, no value",@tgerring I disagree. For testing we can already change this by modifying the params.HomesteadBlock. For anything that isn't the main net or test net we should probably set the block to 0 to always use the new rules. It's a bit useless to use frontier rules imo. Is there a use case where you believe this is a requirement?,3WEV0KO0ONG5FP7VGHYR4IQLZJUDS9,TRUE,YY,obscuren merged commit f8d98f7 into ethereum:develop on 19 Feb,,

3QHITW7OYOXTIIRCE1DJVX8TAMBAQ8,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:50 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:45 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Tue Nov 08 04:58:16 PST 2016,Tue Nov 08 05:02:35 PST 2016,Tue Nov 15 05:02:35 PST 2016,,,,259,98% (39/40),0% (0/1),0% (0/1),1352,https://github.com/ipython/ipywidgets/pull/312,https://github.com/ipython/ipywidgets/graphs/contributors,jdfreder,"jdfreder, SylvainCorlay, minrk",4,18,{},SylvainCorlay,SylvainCorlay,"willingc, takluyver, ssunkara1, rgbkrk, jasongrout, gnestor, Carreau, minrk, jdfreder, SylvainCorlay, ivanov, ellisonbg, grelston, fperez, jhpedemonte",blink1073,"Y,core",Thanks ! Hopefully this makes things a little less painful for people who want to embed prior to ipywidgets 6.0,"Y,others","@SylvainCorlay, I think you need to use externals for those other modules: https://webpack.github.io/docs/library-and-externals.html",N,{},N,{},3TXD01ZLD558U6G6CBSYGFE498PU4A,TRUE,YY,jdfreder merged commit f368f96 into ipython:master on Jan 15,,

37SOB9Z0SSLI70CEDHQDR3VTU6W3LG,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:51 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:46 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Mon Nov 07 07:13:33 PST 2016,Mon Nov 07 07:28:21 PST 2016,Mon Nov 14 07:28:21 PST 2016,,,,888,98% (39/40),0% (0/1),0% (0/1),1353,https://github.com/gtk-rs/gtk/pull/218,https://github.com/gtk-rs/gtk/graphs/contributors,GuillaumeGomez,"GuillaumeGomez, gkoz, jeremyletang",3,19,{},rnestler,rnestler,"GuillaumeGomez, gkoz, jeremyletang",rnestler,"Y,core","Thanks! Once we confirmed my note, I'll merge.



$$$$



Looks good :+1:



$$$$



Thanks a lot for your contribution @rnestler! I merge.",N,{},N,{},N,{},3S96KQ6I9NS6UPKA5H3HENM72KYTD5,TRUE,YY,GuillaumeGomez merged commit e067474 into gtk-rs:master on Jan 3,,

3P4ZBJFX2VRTY6461QYH1N16V34WFA,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:49 PDT 2016,1,BatchId:2567999;,3600,604800,Mon Oct 31 21:50:49 PDT 2016,,,A38NFX88VZDMJ3,Approved,Tue Oct 25 19:19:14 PDT 2016,Tue Oct 25 19:31:31 PDT 2016,Tue Nov 01 19:31:31 PDT 2016,Tue Nov 01 17:51:54 PDT 2016,,,737,100% (7/7),100% (7/7),0% (0/0),1359,https://github.com/apache/spark/pull/10610,https://github.com/apache/spark/graphs/contributors,asfgit,"mateiz, rxin, pwendell",5,19,{},BryanCutler,BryanCutler,"mateiz, rxin, pwendell, JoshRosen","SparkQA, thunterdb","Y,others","This patch passes all tests.

This patch merges cleanly.

This patch adds no public classes.



